UF,PROCESSO,NOME,SUBS,FASE,AREA_HA,ULT_EVENTO,lat,lon
BA,872072/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,1970.72,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 06/01/2026,-9.6914,-42.9853
BA,872063/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,1968.68,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 06/01/2026,-9.5428,-43.4706
BA,872084/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,1989.32,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 06/01/2026,-11.3858,-41.5404
BA,872046/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,224.99,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-13.7775,-42.0738
BA,872069/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,1928.22,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 07/01/2026,-9.6471,-42.9853
BA,872025/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,496.15,278 - AUT PESQ/RENÚNCIA AUTORIZAÇÃO PESQUISA PROTOC EM 09/04/2026,-14.8229,-42.1771
BA,872060/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,1944.26,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 06/01/2026,-9.5047,-43.4534
BA,872045/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,994.91,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-14.2282,-42.0316
BA,872074/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,1963.05,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 07/01/2026,-9.7358,-43.0217
BA,872073/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,1976.79,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 06/01/2026,-9.6914,-42.9489
BA,872075/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,1953.45,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 06/01/2026,-9.7358,-42.9853
BA,872083/2024,3D MINERALS LTDA,MINÉRIO DE CROMO,AUTORIZAÇÃO DE PESQUISA,877.35,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-10.0569,-39.6818
